District,Block Name,username,Column 4
Thiruvananthapuram,Varkala,varkala@balasabha.com,
Thiruvananthapuram,Kilimanoor,kilimanoor@balasabha.com,
Thiruvananthapuram,Chirayinkeezhu,chirayinkeezhu@balasabha.com,
Thiruvananthapuram,Vamanapuram,vamanapuram@balasabha.com,
Thiruvananthapuram,Vellanad,vellanad@balasabha.com,
Thiruvananthapuram,Nedumangad,nedumangad@balasabha.com,
Thiruvananthapuram,Pothencode,pothencode@balasabha.com,
Thiruvananthapuram,Nemom,nemom@balasabha.com,
Thiruvananthapuram,Perumkadavila,perumkadavila@balasabha.com,
Thiruvananthapuram,Athiyannoor,athiyannoor@balasabha.com,
Thiruvananthapuram,Parassala,parassala@balasabha.com,
Kollam,Oachira,oachira@balasabha.com,
Kollam,Sasthamcotta,sasthamcotta@balasabha.com,
Kollam,Vettikavala,vettikavala@balasabha.com,
Kollam,Pathanapuram,pathanapuram@balasabha.com,
Kollam,Anchal,anchal@balasabha.com,
Kollam,Kottarakara,kottarakara@balasabha.com,
Kollam,Chittumala,chittumala@balasabha.com,
Kollam,Chavara,chavara@balasabha.com,
Kollam,Mukhathala,mukhathala@balasabha.com,
Kollam,Ithikkara,ithikkara@balasabha.com,
Kollam,Chadayamangalam,chadayamangalam@balasabha.com,
Pathanamthitta,Mallappally,mallappally@balasabha.com,
Pathanamthitta,Pulikeezhu,pulikeezhu@balasabha.com,
Pathanamthitta,Koipuram,koipuram@balasabha.com,
Pathanamthitta,Elanthoor,elanthoor@balasabha.com,
Pathanamthitta,Ranni,ranni@balasabha.com,
Pathanamthitta,Konni,konni@balasabha.com,
Pathanamthitta,Pandalam,pandalam@balasabha.com,
Pathanamthitta,Parakkode,parakkode@balasabha.com,
Alappuzha,Thycattussery,thycattussery@balasabha.com,
Alappuzha,Pattanakkad,pattanakkad@balasabha.com,
Alappuzha,Kanjikuzhy,kanjikuzhy@balasabha.com,
Alappuzha,Aryad,aryad@balasabha.com,
Alappuzha,Ambalappuzha,ambalappuzha@balasabha.com,
Alappuzha,Champakulam,champakulam@balasabha.com,
Alappuzha,Veliyanad,veliyanad@balasabha.com,
Alappuzha,Chengannur,chengannur@balasabha.com,
Alappuzha,Haripad,haripad@balasabha.com,
Alappuzha,Mavelikara,mavelikara@balasabha.com,
Alappuzha,Bharanickavu,bharanickavu@balasabha.com,
Alappuzha,Muthukulam,muthukulam@balasabha.com,
Kottayam,Vaikom,vaikom@balasabha.com,
Kottayam,Kaduthuruthy,kaduthuruthy@balasabha.com,
Kottayam,Ettumanoor,ettumanoor@balasabha.com,
Kottayam,Uzhavoor,uzhavoor@balasabha.com,
Kottayam,Lalam,lalam@balasabha.com,
Kottayam,Erattupetta,erattupetta@balasabha.com,
Kottayam,Pampady,pampady@balasabha.com,
Kottayam,Pallom,pallom@balasabha.com,
Kottayam,Madappally,madappally@balasabha.com,
Kottayam,Vazhoor,vazhoor@balasabha.com,
Kottayam,Kanjirappally,kanjirappally@balasabha.com,
Idukki,Adimaly,adimaly@balasabha.com,
Idukki,Devikulam,devikulam@balasabha.com,
Idukki,Nedumkandam,nedumkandam@balasabha.com,
