no,Panchayaths,Block,District
1,Chemmaruthy,Varkala,Thiruvananthapuram
2,Edava,Varkala,Thiruvananthapuram
3,Elakamon,Varkala,Thiruvananthapuram
4,Manamboor,Varkala,Thiruvananthapuram
5,Ottoor,Varkala,Thiruvananthapuram
6,Cherunniyoor,Varkala,Thiruvananthapuram
7,Vettoor,Varkala,Thiruvananthapuram
8,Kilimanoor,Kilimanoor,Thiruvananthapuram
9,Pazhayakunnumel,Kilimanoor,Thiruvananthapuram
10,Karavaram,Kilimanoor,Thiruvananthapuram
11,Madavoor,Kilimanoor,Thiruvananthapuram
12,Pallickal,Kilimanoor,Thiruvananthapuram
13,Nagaroor,Kilimanoor,Thiruvananthapuram
14,Navaikulam,Kilimanoor,Thiruvananthapuram
15,Pulimath,Kilimanoor,Thiruvananthapuram
16,Anchuthengu,Chirayinkeezhu,Thiruvananthapuram
17,Vakkom,Chirayinkeezhu,Thiruvananthapuram
18,Chirayinkeezhu,Chirayinkeezhu,Thiruvananthapuram
19,Kizhuvilam,Chirayinkeezhu,Thiruvananthapuram
20,Mudakkal,Chirayinkeezhu,Thiruvananthapuram
21,Kadakkavoor,Chirayinkeezhu,Thiruvananthapuram
22,Kallara,Vamanapuram,Thiruvananthapuram
23,Nellanad,Vamanapuram,Thiruvananthapuram
24,Pullampara,Vamanapuram,Thiruvananthapuram
25,Vamanapuram,Vamanapuram,Thiruvananthapuram
26,Pangode,Vamanapuram,Thiruvananthapuram
27,Nanniyode,Vamanapuram,Thiruvananthapuram
28,Peringammala,Vamanapuram,Thiruvananthapuram
29,Manickal,Vamanapuram,Thiruvananthapuram
30,Aryanad,Vellanad,Thiruvananthapuram
31,Poovachal,Vellanad,Thiruvananthapuram
32,Vellanad,Vellanad,Thiruvananthapuram
33,Vithura,Vellanad,Thiruvananthapuram
34,Uzhamalakkal,Vellanad,Thiruvananthapuram
35,Kuttichal,Vellanad,Thiruvananthapuram
36,Tholicode,Vellanad,Thiruvananthapuram
37,Kattakada,Vellanad,Thiruvananthapuram
38,Anad,Nedumangad,Thiruvananthapuram
39,Aruvikkara,Nedumangad,Thiruvananthapuram
40,Panavoor,Nedumangad,Thiruvananthapuram
41,Karakulam,Nedumangad,Thiruvananthapuram
42,Vembayam,Nedumangad,Thiruvananthapuram
43,Andoorkonam,Pothencode,Thiruvananthapuram
44,Kadinamkulam,Pothencode,Thiruvananthapuram
45,Mangalapuram,Pothencode,Thiruvananthapuram
46,Pothencode,Pothencode,Thiruvananthapuram
47,Azhoor,Pothencode,Thiruvananthapuram
48,Balaramapuram,Nemom,Thiruvananthapuram
49,Pallichal,Nemom,Thiruvananthapuram
50,Maranalloor,Nemom,Thiruvananthapuram
51,Malayinkeezh,Nemom,Thiruvananthapuram
52,Vilappil,Nemom,Thiruvananthapuram
53,Vilavoorkal,Nemom,Thiruvananthapuram
54,Kalliyoor,Nemom,Thiruvananthapuram
55,Perumkadavila,Perumkadavila,Thiruvananthapuram
56,Kollayil,Perumkadavila,Thiruvananthapuram
57,Ottasekharamangalam,Perumkadavila,Thiruvananthapuram
58,Aryancode,Perumkadavila,Thiruvananthapuram
59,Kallikkadu,Perumkadavila,Thiruvananthapuram
60,Kunnathukal,Perumkadavila,Thiruvananthapuram
61,Vellarada,Perumkadavila,Thiruvananthapuram
62,Amboori,Perumkadavila,Thiruvananthapuram
63,Athiyannoor,Athiyannoor,Thiruvananthapuram
64,Kanjiramkulam,Athiyannoor,Thiruvananthapuram
65,Karumkulam,Athiyannoor,Thiruvananthapuram
66,Kottukal,Athiyannoor,Thiruvananthapuram
67,Venganoor,Athiyannoor,Thiruvananthapuram
68,Chenkal,Parassala,Thiruvananthapuram
69,Karode,Parassala,Thiruvananthapuram
70,Kulathoor,Parassala,Thiruvananthapuram
71,Parassala,Parassala,Thiruvananthapuram
72,Thirupuram,Parassala,Thiruvananthapuram
73,Poovar,Parassala,Thiruvananthapuram
74,Oachira,Oachira,Kollam
75,Kulasekharapuram,Oachira,Kollam
76,Clappana,Oachira,Kollam
77,Thazhava,Oachira,Kollam
78,Alappad,Oachira,Kollam
79,Thodiyoor,Oachira,Kollam
80,Sasthamcotta,Sasthamcotta,Kollam
81,West Kallada,Sasthamcotta,Kollam
82,Sooranad South,Sasthamcotta,Kollam
83,Poruvazhy,Sasthamcotta,Kollam
84,Kunnathoor,Sasthamcotta,Kollam
85,Sooranad North,Sasthamcotta,Kollam
86,Mynagappally,Sasthamcotta,Kollam
87,Ummannoor,Vettikavala,Kollam
88,Vettikavala,Vettikavala,Kollam
89,Melila,Vettikavala,Kollam
90,Mylom,Vettikavala,Kollam
91,Kulakkada,Vettikavala,Kollam
92,Pavithreswaram,Vettikavala,Kollam
93,Vilakkudy,Pathanapuram,Kollam
94,Thalavoor,Pathanapuram,Kollam
95,Piravanthoor,Pathanapuram,Kollam
96,Pattazhi Vadakkekara,Pathanapuram,Kollam
97,Pattazhi,Pathanapuram,Kollam
98,Pathanapuram,Pathanapuram,Kollam
99,Kulathupuzha,Anchal,Kollam
100,Yeroor,Anchal,Kollam
101,Alayamon,Anchal,Kollam
102,Anchal,Anchal,Kollam
103,Edamulackal,Anchal,Kollam
104,Karavaloor,Anchal,Kollam
105,Thenmala,Anchal,Kollam
106,Aryankavu,Anchal,Kollam
107,Veliyam,Kottarakara,Kollam
108,Pooyappally,Kottarakara,Kollam
109,Kareepra,Kottarakara,Kollam
110,Ezhukone,Kottarakara,Kollam
111,Neduvathoor,Kottarakara,Kollam
112,Perinad,Chittumala,Kollam
113,Kundara,Chittumala,Kollam
114,East Kallada,Chittumala,Kollam
115,Perayam,Chittumala,Kollam
116,Munroethuruth,Chittumala,Kollam
117,Panayam,Chittumala,Kollam
118,Thrikkaruva,Chittumala,Kollam
119,Thekkumbhagom,Chavara,Kollam
120,Chavara,Chavara,Kollam
121,Thevalakkara,Chavara,Kollam
122,Panmana,Chavara,Kollam
123,Neendakara,Chavara,Kollam
124,Mayyanad,Mukhathala,Kollam
125,Thrikkovilvattom,Mukhathala,Kollam
126,Kottamkara,Mukhathala,Kollam
127,Elampalloor,Mukhathala,Kollam
128,Nedumpana,Mukhathala,Kollam
129,Poothakulam,Ithikkara,Kollam
130,Kalluvathukkal,Ithikkara,Kollam
131,Chathannoor,Ithikkara,Kollam
132,Adichanalloor,Ithikkara,Kollam
133,Chirakkara,Ithikkara,Kollam
134,Chithara,Chadayamangalam,Kollam
135,Kadakkal,Chadayamangalam,Kollam
136,Chadayamangalam,Chadayamangalam,Kollam
137,Ittiva,Chadayamangalam,Kollam
138,Velinalloor,Chadayamangalam,Kollam
139,Elamadu,Chadayamangalam,Kollam
140,Nilamel,Chadayamangalam,Kollam
141,Kummil,Chadayamangalam,Kollam
142,Anicadu,Mallappally,Pathanamthitta
143,Kaviyoor,Mallappally,Pathanamthitta
144,Kottanad,Mallappally,Pathanamthitta
145,Kottangal,Mallappally,Pathanamthitta
146,Kallooppara,Mallappally,Pathanamthitta
147,Kunnamthanam,Mallappally,Pathanamthitta
148,Mallappally,Mallappally,Pathanamthitta
149,Kadapra,Pulikeezhu,Pathanamthitta
150,Kuttoor,Pulikeezhu,Pathanamthitta
151,Niranam,Pulikeezhu,Pathanamthitta
152,Nedumpuram,Pulikeezhu,Pathanamthitta
153,Peringara,Pulikeezhu,Pathanamthitta
154,Ayroor,Koipuram,Pathanamthitta
155,Eraviperoor,Koipuram,Pathanamthitta
156,Koipuram,Koipuram,Pathanamthitta
157,Thottappuzhassery,Koipuram,Pathanamthitta
158,Ezhumattoor,Koipuram,Pathanamthitta
159,Puramattom,Koipuram,Pathanamthitta
160,Omalloor,Elanthoor,Pathanamthitta
161,Chenneerkara,Elanthoor,Pathanamthitta
162,Elanthoor,Elanthoor,Pathanamthitta
163,Cherukole,Elanthoor,Pathanamthitta
164,Kozhencherry,Elanthoor,Pathanamthitta
165,Mallappuzhassery,Elanthoor,Pathanamthitta
166,Naranganam,Elanthoor,Pathanamthitta
167,Ranni Pazhavangadi,Ranni,Pathanamthitta
168,Ranni,Ranni,Pathanamthitta
169,Ranni Angadi,Ranni,Pathanamthitta
170,Ranni Perunadu,Ranni,Pathanamthitta
171,Vadaserikara,Ranni,Pathanamthitta
172,Chittar,Ranni,Pathanamthitta
173,Seethathodu,Ranni,Pathanamthitta
174,Naranammoozhy,Ranni,Pathanamthitta
175,Vechoochira,Ranni,Pathanamthitta
176,Konni,Konni,Pathanamthitta
177,Aruvappulam,Konni,Pathanamthitta
178,Pramadom,Konni,Pathanamthitta
179,Mylapra,Konni,Pathanamthitta
180,Vallicode,Konni,Pathanamthitta
181,Thannithodu,Konni,Pathanamthitta
182,Malayalapuzha,Konni,Pathanamthitta
183,Pandalam Thekkekara,Pandalam,Pathanamthitta
184,Thumpamon,Pandalam,Pathanamthitta
185,Aranmula,Pandalam,Pathanamthitta
186,Mezhuveli,Pandalam,Pathanamthitta
187,Kulanada,Pandalam,Pathanamthitta
188,Enadimangalam,Parakkode,Pathanamthitta
189,Erathu,Parakkode,Pathanamthitta
190,Ezhamkulam,Parakkode,Pathanamthitta
191,Kadampanad,Parakkode,Pathanamthitta
192,Kalanjoor,Parakkode,Pathanamthitta
193,Kodumon,Parakkode,Pathanamthitta
194,Pallickal,Parakkode,Pathanamthitta
195,Arookutty,Thycattussery,Alappuzha
196,Chennam Pallippuram,Thycattussery,Alappuzha
197,Panavally,Thycattussery,Alappuzha
198,Perumpalam,Thycattussery,Alappuzha
199,Thycattussery,Thycattussery,Alappuzha
